Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[3, 132, 238, 354, 445, 465, 481, 533, 939]",2.7552,GA with SVR,9,0.0431,0.0211,-0.076,1.8044,1.3398,0.5352
"[113, 118, 170, 188, 277, 325, 364, 401, 431, 494, 498, 541, 937]",3.3994,GA with SVR,13,0.1888,0.3194,0.1686,1.586,1.2759,0.4648
"[6, 35, 43, 164, 191, 275, 289, 293, 318, 322, 325, 388, 452, 471, 514, 543, 568, 703, 938]",4.6468,GA with SVR,19,0.2026,0.336,0.1862,1.5692,1.2689,0.4507
"[81, 111, 119, 124, 220, 288, 299, 386, 414, 472, 522, 570, 631, 648]",3.535,GA with SVR,14,0.3004,0.3136,0.2693,1.4869,1.2269,0.4366
"[36, 66, 71, 178, 253, 429, 459, 476, 496, 502, 547, 553, 559, 907, 937]",3.8565,GA with SVR,15,0.1755,0.2458,0.2383,1.5181,1.2596,0.4085
"[69, 83, 117, 137, 153, 165, 314, 464, 523, 550, 650, 676, 695]",3.3833,GA with SVR,13,0.2286,0.2917,0.2245,1.5318,1.2827,0.4789
"[35, 69, 107, 111, 143, 166, 179, 216, 289, 291, 294, 340, 431, 464, 482, 507, 526, 532, 533, 864, 928]",5.0783,GA with SVR,21,0.2295,0.2733,0.2245,1.5318,1.2523,0.507
"[36, 74, 76, 81, 83, 142, 145, 147, 154, 167, 205, 277, 288, 291, 337, 359, 375, 397, 488, 500, 535, 680, 692]",5.4741,GA with SVR,23,0.262,0.2897,0.1816,1.5736,1.1965,0.5775
"[35, 69, 92, 107, 111, 166, 216, 289, 291, 378, 431, 436, 480, 482, 520, 521, 526, 535, 546, 680, 692]",5.1138,GA with SVR,21,0.1741,0.2792,0.1398,1.6133,1.3365,0.4225
"[35, 69, 107, 111, 166, 216, 218, 289, 291, 297, 431, 482, 522, 526, 535, 680, 692, 908]",4.4784,GA with SVR,18,0.1729,0.2791,0.139,1.6141,1.3381,0.4225
