Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[39_ 272_ 287_ 392_ 495_ 538_ 541_ 819_ 865_ 872_ 941],2.913,BPSO with ANN,11,0.3377,0.2224,0.2278,1.5327,1.2361,0.4648
[39_ 168_ 220_ 261_ 390_ 411_ 415_ 419_ 473_ 690],2.7116,BPSO with ANN,10,0.3359,0.2053,0.2491,1.5115,1.2646,0.4225
[39_ 114_ 132_ 139_ 148_ 223_ 302_ 341_ 357_ 373_ 385_ 491_ 540_ 880],3.5594,BPSO with ANN,14,0.3342,0.1851,0.2087,1.5516,1.2514,0.4507
[39_ 69_ 186_ 224_ 295_ 310_ 402_ 418_ 440],2.5032,BPSO with ANN,9,0.3334,0.2084,0.2342,1.5264,1.2604,0.3944
[39_ 153_ 211_ 317_ 319_ 343_ 357_ 376_ 381_ 501_ 691],2.9254,BPSO with ANN,11,0.3334,0.198,0.2573,1.5032,1.1962,0.4789
[6_ 39_ 69_ 90_ 114_ 120_ 135_ 166_ 171_ 281_ 363_ 372_ 378_ 410_ 458_ 459_ 464_ 475_ 541_ 550],4.8033,BPSO with ANN,20,0.3329,0.2424,0.2461,1.5145,1.2364,0.4507
[39_ 40_ 50_ 75_ 78_ 118_ 179_ 270_ 317_ 331_ 471_ 494_ 551_ 872_ 908],3.7568,BPSO with ANN,15,0.3327,0.2199,0.2269,1.5336,1.2688,0.4085
[39_ 168_ 196_ 251_ 278_ 349_ 464_ 542_ 865],2.5056,BPSO with ANN,9,0.3325,0.2037,0.2307,1.5298,1.2485,0.4507
[39_ 96_ 163_ 370_ 378_ 439_ 479_ 536_ 542_ 615_ 699],2.9239,BPSO with ANN,11,0.3319,0.2043,0.2412,1.5193,1.2253,0.493
[5_ 35_ 39_ 45_ 139_ 169_ 311_ 332_ 396_ 399_ 467_ 512_ 937],3.3489,BPSO with ANN,13,0.3307,0.1921,0.2126,1.5477,1.2531,0.4507
[39_ 79_ 139_ 141_ 168_ 232_ 284_ 287_ 295_ 435_ 453_ 471_ 492_ 494_ 566_ 648_ 816],4.1927,BPSO with ANN,17,0.3306,0.1885,0.1875,1.5722,1.2695,0.4648
[39_ 104_ 254_ 312_ 325_ 337_ 391_ 396_ 559_ 930],2.6993,BPSO with ANN,10,0.33,0.248,0.2789,1.4812,1.1976,0.4789
[31_ 39_ 71_ 90_ 105_ 132_ 160_ 186_ 261_ 351_ 435_ 472_ 495_ 528_ 540_ 928],3.9727,BPSO with ANN,16,0.3275,0.2157,0.2629,1.4975,1.2417,0.4648
[31_ 39_ 82_ 175_ 178_ 261_ 333_ 356_ 491_ 530],2.7163,BPSO with ANN,10,0.3262,0.2102,0.2502,1.5103,1.2441,0.4507
[16_ 39_ 77_ 129_ 162_ 255_ 276_ 289_ 420_ 426_ 434_ 494_ 517_ 553],3.5499,BPSO with ANN,14,0.3261,0.2229,0.2404,1.5201,1.2641,0.4648
[39_ 58_ 80_ 149_ 170_ 245_ 415_ 480_ 699],2.5149,BPSO with ANN,9,0.3255,0.1916,0.2347,1.5259,1.2272,0.4789
[39_ 76_ 133_ 158_ 234_ 282_ 298_ 345_ 538_ 551_ 554_ 700_ 864_ 865],3.5625,BPSO with ANN,14,0.3246,0.1937,0.2313,1.5292,1.2428,0.4366
[39_ 75_ 139_ 185_ 213_ 250_ 378_ 402_ 490_ 497_ 551_ 869],3.1492,BPSO with ANN,12,0.3244,0.1768,0.2111,1.5492,1.2562,0.4507
[39_ 66_ 102_ 112_ 127_ 256_ 319_ 345_ 458_ 464_ 479_ 489_ 524_ 615],3.5639,BPSO with ANN,14,0.3235,0.192,0.2374,1.5231,1.2335,0.4648
[39_ 42_ 53_ 62_ 136_ 141_ 178_ 248_ 250_ 542_ 865],2.9389,BPSO with ANN,11,0.3234,0.1806,0.2102,1.5501,1.2532,0.4648
[39_ 69_ 161_ 186_ 431_ 540_ 564],2.0915,BPSO with ANN,7,0.3233,0.2118,0.2458,1.5148,1.2358,0.4507
[39_ 46_ 72_ 242_ 308_ 359_ 385_ 398_ 529_ 546_ 648_ 865],3.1416,BPSO with ANN,12,0.322,0.2008,0.2294,1.5312,1.2457,0.4789
[5_ 39_ 139_ 159_ 220_ 314_ 350_ 491_ 574_ 696_ 826_ 930],3.1388,BPSO with ANN,12,0.3218,0.2083,0.2257,1.5348,1.2443,0.4507
[0_ 39_ 242_ 275_ 319_ 355_ 389_ 400_ 442_ 535_ 549],2.9334,BPSO with ANN,11,0.3216,0.198,0.2443,1.5162,1.216,0.493
[3_ 39_ 41_ 123_ 156_ 270_ 279_ 290_ 332_ 333_ 371_ 524_ 681_ 871],3.5574,BPSO with ANN,14,0.3206,0.2135,0.2277,1.5328,1.2545,0.4366
[39_ 113_ 130_ 141_ 199_ 242_ 270_ 317_ 331_ 362_ 390_ 423_ 526],3.3516,BPSO with ANN,13,0.3203,0.2032,0.2209,1.5395,1.2616,0.4366
[4_ 39_ 178_ 196_ 267_ 269_ 312_ 327_ 373_ 405_ 418_ 428_ 443_ 458_ 541_ 929],3.9828,BPSO with ANN,16,0.3201,0.2034,0.2097,1.5506,1.2518,0.4648
[39_ 55_ 73_ 180_ 241_ 386_ 451_ 461_ 473_ 538_ 553_ 699],3.1493,BPSO with ANN,12,0.3199,0.1844,0.2127,1.5477,1.2545,0.4507
[39_ 69_ 213_ 225_ 352_ 382_ 401_ 516_ 570],2.5132,BPSO with ANN,9,0.3194,0.2069,0.2374,1.5231,1.2503,0.4366
[39_ 200_ 218_ 314_ 479_ 699],1.595,BPSO with ANN,6,0.3189,0.1875,0.2268,1.5338,1.2378,0.4648
[39_ 42_ 47_ 116_ 169_ 217_ 415_ 434_ 438_ 463_ 485_ 703_ 865_ 867_ 906],3.779,BPSO with ANN,15,0.3187,0.1886,0.2261,1.5344,1.2391,0.4507
[39_ 44_ 82_ 96_ 137_ 297_ 395_ 438_ 452_ 538_ 561_ 699_ 872],3.3656,BPSO with ANN,13,0.3186,0.1704,0.1912,1.5686,1.278,0.4789
[6_ 20_ 39_ 119_ 126_ 139_ 188_ 281_ 295_ 316_ 343_ 349_ 513_ 519_ 538_ 545],3.9955,BPSO with ANN,16,0.3184,0.1749,0.2052,1.555,1.2622,0.4507
