Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[36, 78, 102, 140, 190, 196, 208, 232, 417, 436, 441, 458, 939]",3.5738,GA with ANN,13,0.0502,0.0653,0.0258,1.7215,1.4766,0.3803
"[58, 79, 114, 126, 133, 140, 200, 210, 317, 391, 502, 509, 549, 696]",3.7858,GA with ANN,14,0.0501,0.0633,0.0206,1.7261,1.4896,0.3662
"[1, 140, 147, 164, 236, 341, 354, 368, 476, 511, 529, 540, 555, 631]",3.7842,GA with ANN,14,0.0498,0.0685,0.0224,1.7245,1.4703,0.3803
"[93, 109, 140, 235, 324, 470, 499, 525, 528, 557, 563, 928]",3.3632,GA with ANN,12,0.0497,0.0651,0.0193,1.7273,1.4824,0.3944
"[78, 82, 92, 139, 140, 188, 191, 220, 287, 295, 313, 320, 368, 377, 405, 407, 475, 521, 555]",4.8496,GA with ANN,19,0.0494,0.0584,0.0001,1.7441,1.5023,0.338
"[39, 44, 66, 89, 111, 138, 206, 214, 340, 396, 444, 696]",3.37,GA with ANN,12,0.0492,0.0461,0.0207,1.7261,1.4185,0.4225
"[41, 60, 111, 140, 168, 179, 237, 280, 407, 506, 562]",3.1518,GA with ANN,11,0.0492,0.0686,0.0156,1.7306,1.4858,0.3944
"[35, 74, 112, 140, 267, 306, 343, 352, 406, 437, 552, 553, 615, 648, 649, 697]",4.2082,GA with ANN,16,0.0491,0.0682,0.0177,1.7287,1.4908,0.3944
"[113, 123, 140, 326, 390, 478, 492, 526, 691, 870]",2.9418,GA with ANN,10,0.0491,0.0678,0.012,1.7337,1.4968,0.338
"[139, 174, 244, 280, 302, 309, 321, 334, 434, 474, 498]",3.1612,GA with ANN,11,0.049,0.0409,0.0106,1.735,1.4764,0.3803
"[78, 140, 156, 191, 195, 219, 267, 297, 391, 448, 558]",3.1531,GA with ANN,11,0.049,0.065,0.0256,1.7218,1.4849,0.3662
"[16, 54, 58, 86, 108, 139, 179, 204, 236, 276, 312, 313, 519, 692, 696, 907]",4.2159,GA with ANN,16,0.0489,0.0466,0.0296,1.7182,1.4611,0.4085
"[140, 232, 246, 294, 326, 354, 394, 553, 871]",2.733,GA with ANN,9,0.0489,0.0645,0.0167,1.7296,1.4872,0.3944
"[36, 140, 182, 213, 296, 302, 467, 501, 526, 872, 880]",3.1525,GA with ANN,11,0.0487,0.0673,0.0257,1.7216,1.4586,0.3944
"[36, 51, 92, 96, 140, 143, 156, 191, 232, 236, 271, 306, 311, 334, 378, 395, 405, 455, 491, 492, 495, 507, 564, 678]",5.9161,GA with ANN,24,0.0486,0.0747,0.0229,1.7241,1.4547,0.4225
"[15, 99, 102, 139, 253, 354, 450, 463, 696, 821, 930, 937]",3.3716,GA with ANN,12,0.0486,0.0425,0.0182,1.7283,1.4786,0.3662
"[30, 61, 140, 174, 196, 213, 238, 439, 482, 544]",2.9413,GA with ANN,10,0.0484,0.0703,0.0246,1.7226,1.4568,0.3944
"[50, 134, 140, 159, 244, 288, 313, 440, 448, 536, 871]",3.1514,GA with ANN,11,0.0483,0.0712,0.0215,1.7254,1.462,0.3944
"[31, 39, 73, 75, 172, 173, 196, 252, 441, 447, 449, 485, 504, 511, 692, 852, 871, 941]",4.6539,GA with ANN,18,0.0479,0.0128,0.0452,1.7043,1.4076,0.4085
"[64, 91, 140, 169, 176, 184, 216, 340, 356, 369, 404, 428, 464, 465, 494, 941]",4.2107,GA with ANN,16,0.0478,0.0632,0.0224,1.7246,1.4797,0.3803
