Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[3, 5, 56, 81, 166, 205, 249, 250, 276, 304, 317, 358, 376, 442, 496, 697, 700, 872]",4.1415,GA with SVR,18,0.5107,0.4736,0.5294,1.1933,0.939,0.5915
"[92, 190, 237, 276, 557, 570, 697, 700, 819, 872]",2.4785,GA with SVR,10,0.5091,0.4668,0.54,1.1797,0.9313,0.6479
"[2, 42, 57, 100, 145, 204, 306, 320, 497, 515, 676, 870]",2.9061,GA with SVR,12,0.509,0.4404,0.4179,1.3271,1.0441,0.5634
"[4, 52, 169, 255, 285, 370, 386, 462, 508, 520, 696, 700, 906]",3.0956,GA with SVR,13,0.509,0.4807,0.4274,1.3162,1.065,0.507
"[59, 143, 148, 229, 255, 267, 282, 323, 327, 379, 380, 425, 433, 478, 495, 509, 519, 547, 692, 700, 940]",4.8091,GA with SVR,21,0.5084,0.4026,0.4681,1.2686,0.9916,0.6197
"[292, 317, 320, 390, 415, 436, 437, 513, 631]",2.2896,GA with SVR,9,0.5081,0.4268,0.3781,1.3717,1.0934,0.507
"[71, 127, 175, 197, 276, 279, 309, 336, 438, 507, 692, 872, 907, 908]",3.2638,GA with SVR,14,0.5078,0.5661,0.5603,1.1535,0.914,0.662
"[133, 186, 195, 204, 255, 320, 340, 350, 400, 415, 432, 445, 448, 460, 461, 467, 496, 556, 574, 676]",4.5568,GA with SVR,20,0.5074,0.4871,0.3697,1.3809,1.0728,0.5352
"[101, 115, 175, 184, 217, 250, 317, 435, 472, 523, 542, 572, 700, 868, 871, 872, 880]",3.9774,GA with SVR,17,0.5069,0.3861,0.4516,1.2881,0.9994,0.5634
"[83, 232, 245, 313, 318, 383, 391, 435, 465, 468, 489, 504, 511, 631, 680, 681, 819]",3.9375,GA with SVR,17,0.5064,0.4699,0.4035,1.3434,1.0378,0.5493
"[92, 204, 224, 250, 278, 290, 387, 396, 400, 416, 438, 469, 562, 866]",3.3778,GA with SVR,14,0.5063,0.3248,0.3222,1.4321,1.0728,0.6197
"[88, 194, 217, 276, 281, 302, 306, 386, 432, 447, 495, 520, 527, 555, 872, 940]",3.6789,GA with SVR,16,0.5062,0.5712,0.5549,1.1605,0.894,0.6479
"[20, 74, 214, 276, 316, 349, 432, 558, 573, 691, 872]",2.6384,GA with SVR,11,0.5062,0.5746,0.5371,1.1834,0.9366,0.6479
"[5, 88, 117, 128, 187, 237, 320, 395, 454, 507, 563, 571, 928]",3.1423,GA with SVR,13,0.5054,0.3855,0.4207,1.3239,0.9996,0.5211
"[128, 248, 287, 354, 391, 403, 410, 415, 435, 438, 512, 563, 870]",3.0984,GA with SVR,13,0.5053,0.4813,0.4466,1.294,0.9982,0.6056
"[43, 223, 287, 320, 329, 351, 427, 501, 532, 677, 692, 928]",2.924,GA with SVR,12,0.5047,0.4088,0.3712,1.3793,1.1086,0.507
"[71, 102, 180, 280, 281, 288, 291, 320, 346, 351, 386, 491, 570, 615, 870, 928]",3.7431,GA with SVR,16,0.5045,0.4426,0.4166,1.3286,1.0427,0.5211
"[101, 146, 314, 377, 388, 392, 438, 450, 487, 501, 906, 907]",2.8867,GA with SVR,12,0.5031,0.493,0.4399,1.3018,1.0175,0.5634
"[20, 78, 83, 95, 142, 157, 191, 276, 294, 361, 431, 493, 541, 558, 821, 872]",3.6961,GA with SVR,16,0.5022,0.5436,0.5545,1.161,0.9262,0.6056
"[75, 96, 101, 113, 276, 277, 298, 370, 374, 398, 410, 421, 434, 489, 505, 526, 552, 561, 564, 565, 676, 872]",4.955,GA with SVR,22,0.5021,0.5386,0.5597,1.1542,0.922,0.662
"[5, 175, 201, 245, 305, 391, 436, 489, 509, 542, 681]",2.723,GA with SVR,11,0.5021,0.3972,0.3296,1.4242,1.0708,0.5915
