Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Abs. Errors
[39_ 124_ 171_ 209_ 319_ 363_ 391_ 446],1.6385,DE with ANN,8,0.1783,0.0975,0.2175,1.5387,1.26,0.4648
[39_ 138_ 140_ 283_ 511],1.6081,DE with ANN,5,0.1775,0.1102,0.1459,1.6076,1.3061,0.4507
[39_ 140_ 176_ 179_ 430_ 461_ 483],1.6241,DE with ANN,7,0.1773,0.115,0.1511,1.6027,1.3067,0.4507
[39_ 73_ 132_ 140_ 151_ 183_ 198_ 249_ 422_ 492_ 700],1.6743,DE with ANN,11,0.1767,0.0808,0.1266,1.6256,1.3341,0.4085
[20_ 39_ 108_ 140_ 392_ 414_ 432_ 556],1.6372,DE with ANN,8,0.1766,0.1045,0.1502,1.6035,1.3101,0.4507
[39_ 99_ 104_ 190_ 212_ 222_ 263_ 276_ 377_ 435_ 515_ 540_ 651],1.6835,DE with ANN,13,0.1762,0.1142,0.1524,1.6014,1.3013,0.4507
[39_ 72_ 73_ 234_ 276_ 489_ 503_ 521_ 542_ 572],1.6558,DE with ANN,10,0.1756,0.1074,0.1257,1.6264,1.3191,0.4507
[39_ 50_ 114_ 140_ 164_ 226_ 301_ 534_ 548_ 549],1.6629,DE with ANN,10,0.175,0.088,0.1366,1.6163,1.3102,0.4648
[1_ 39_ 46_ 104_ 225_ 325_ 359_ 424_ 440_ 509_ 543],1.6597,DE with ANN,11,0.1742,0.1268,0.1705,1.5842,1.2992,0.4789
[39_ 136_ 140_ 153_ 232_ 288_ 301_ 374_ 399_ 534_ 535],1.6745,DE with ANN,11,0.1736,0.0861,0.1414,1.6118,1.3242,0.4648
[1_ 39_ 140_ 148_ 153_ 164_ 226_ 232_ 301_ 399_ 534_ 548_ 549],1.6905,DE with ANN,13,0.173,0.1002,0.15,1.6037,1.3132,0.4507
[39_ 140_ 176_ 179_ 430_ 461_ 483],1.6384,DE with ANN,7,0.1726,0.0811,0.1199,1.6318,1.3301,0.4507
[39_ 50_ 124_ 140_ 201_ 287_ 327_ 337_ 363_ 427_ 446],1.6747,DE with ANN,11,0.1718,0.0886,0.1327,1.6199,1.3177,0.4507
[39_ 137_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6954,DE with ANN,13,0.1711,0.0899,0.1313,1.6212,1.3133,0.4507
[39_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6863,DE with ANN,12,0.1711,0.086,0.1239,1.6281,1.3211,0.4507
[39_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6927,DE with ANN,12,0.171,0.0682,0.1102,1.6408,1.3256,0.4366
[39_ 73_ 132_ 140_ 151_ 249_ 487_ 492_ 543_ 700_ 819],1.6857,DE with ANN,11,0.1701,0.0602,0.1042,1.6463,1.3262,0.4507
[39_ 133_ 140_ 430_ 483],1.6273,DE with ANN,5,0.1695,0.0668,0.1155,1.6359,1.3385,0.4648
[39_ 73_ 234_ 276_ 395_ 503_ 542_ 572],1.6399,DE with ANN,8,0.1688,0.111,0.1349,1.6179,1.3326,0.4507
[16_ 39_ 82_ 122_ 140_ 352_ 484_ 517_ 532_ 680],1.6643,DE with ANN,10,0.1687,0.0956,0.1465,1.607,1.3108,0.4648
[39_ 140_ 438_ 507_ 514_ 520_ 532_ 680],1.647,DE with ANN,8,0.1685,0.0906,0.1339,1.6188,1.3181,0.4366
[39_ 50_ 75_ 140_ 201_ 327_ 337_ 363_ 446_ 466_ 561_ 649],1.6959,DE with ANN,12,0.1681,0.0641,0.118,1.6336,1.3307,0.4507
[39_ 140_ 305_ 388_ 443_ 464],1.6345,DE with ANN,6,0.1681,0.0741,0.1155,1.6359,1.3241,0.4366
[39_ 55_ 74_ 140_ 183_ 301_ 555_ 615_ 816],1.6588,DE with ANN,9,0.168,0.0846,0.1305,1.622,1.3271,0.4648
[20_ 39_ 121_ 140_ 267_ 385_ 414_ 432_ 556],1.6532,DE with ANN,9,0.1679,0.101,0.148,1.6056,1.3105,0.4507
