Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[0, 3, 16, 34, 51, 101, 108, 126, 164, 171, 188, 275, 291, 306, 309, 316, 317, 380, 382, 391, 400, 467, 471, 494, 507, 525, 528, 566, 681, 939]",6.5857,GA with MLR,30,0.6576,0.4085,0.5224,1.2022,0.9576,0.6056
"[17, 30, 49, 58, 70, 79, 144, 159, 179, 186, 207, 213, 214, 227, 231, 243, 297, 330, 345, 350, 355, 360, 374, 379, 422, 441, 563, 569, 871, 938]",6.6268,GA with MLR,30,0.657,0.3424,0.5058,1.2228,1.0073,0.5915
"[5, 15, 17, 59, 68, 70, 108, 126, 138, 165, 196, 242, 285, 289, 346, 387, 392, 400, 421, 485, 493, 505, 535, 561, 572, 695]",5.6678,GA with MLR,26,0.6568,0.5179,0.603,1.0961,0.8555,0.6056
"[5, 15, 36, 51, 64, 71, 85, 116, 127, 140, 178, 216, 232, 270, 277, 298, 328, 333, 344, 395, 448, 479, 480, 482, 488, 502, 526, 529, 565]",6.4013,GA with MLR,29,0.6567,0.3613,0.2773,1.4788,1.1359,0.5915
"[5, 58, 76, 111, 120, 122, 127, 144, 210, 253, 281, 296, 300, 361, 393, 394, 413, 418, 421, 436, 445, 447, 532, 565, 648, 677, 702, 908]",6.1095,GA with MLR,28,0.6567,0.4893,0.6262,1.0635,0.8866,0.5634
"[6, 50, 55, 61, 63, 71, 74, 181, 194, 195, 210, 212, 243, 249, 280, 300, 319, 343, 345, 347, 356, 362, 379, 399, 469, 482, 499, 508, 509, 519, 524, 528, 549, 554, 679, 906, 929]",8.0683,GA with MLR,37,0.6566,0.4572,0.4152,1.3301,1.0264,0.6197
"[0, 15, 30, 34, 69, 103, 137, 169, 174, 178, 212, 220, 226, 267, 276, 289, 334, 377, 419, 433, 458, 497, 508, 512, 524, 839, 868]",5.93,GA with MLR,27,0.6566,0.4359,0.5072,1.2211,0.9843,0.5352
"[1, 36, 57, 65, 93, 124, 127, 151, 161, 171, 174, 221, 242, 267, 279, 297, 301, 374, 398, 434, 490, 537, 542, 545, 563, 566, 702]",6.0528,GA with MLR,27,0.6564,0.2232,0.5287,1.1942,0.9464,0.5775
"[0, 30, 51, 55, 80, 102, 109, 127, 141, 158, 163, 164, 234, 238, 239, 291, 350, 351, 357, 404, 418, 471, 478, 481, 484, 494, 498, 513, 514, 554, 563, 697, 907, 928]",7.448,GA with MLR,34,0.6563,0.4098,0.5562,1.1588,0.9344,0.6056
"[53, 117, 118, 142, 170, 171, 175, 187, 207, 249, 304, 311, 313, 315, 324, 330, 331, 391, 428, 446, 466, 486, 488, 490, 521, 529, 555, 826, 872]",6.3543,GA with MLR,29,0.6562,0.439,0.5713,1.1389,0.8751,0.6761
"[3, 5, 58, 62, 68, 85, 162, 164, 183, 185, 198, 220, 223, 228, 281, 296, 344, 365, 370, 435, 504, 512, 553, 693, 696]",5.4914,GA with MLR,25,0.6561,0.4613,0.5819,1.1248,0.9005,0.6479
"[5, 15, 36, 42, 63, 87, 92, 168, 189, 219, 255, 263, 279, 282, 325, 345, 353, 357, 368, 390, 412, 469, 488, 572]",5.2601,GA with MLR,24,0.6559,0.4956,0.6166,1.0771,0.8725,0.6761
"[41, 77, 128, 164, 180, 192, 213, 280, 322, 331, 366, 373, 400, 429, 458, 544, 561, 690]",4.0065,GA with MLR,18,0.6559,0.4867,0.3544,1.3977,1.1138,0.507
"[6, 48, 58, 83, 91, 141, 151, 213, 253, 272, 311, 313, 316, 344, 407, 425, 454, 456, 480, 486, 496, 548, 552, 569, 678, 908, 937]",5.8873,GA with MLR,27,0.6558,0.5068,0.6013,1.0984,0.87,0.6338
"[0, 2, 16, 49, 84, 111, 201, 212, 241, 250, 280, 281, 291, 323, 330, 347, 408, 422, 450, 469, 488, 503, 527, 529]",5.2177,GA with MLR,24,0.6557,0.5659,0.6183,1.0746,0.8615,0.5915
"[15, 45, 91, 93, 128, 133, 175, 185, 192, 254, 279, 309, 325, 343, 348, 381, 408, 438, 440, 497, 509, 541, 559, 561, 696, 929]",5.7197,GA with MLR,26,0.6554,0.4344,0.4021,1.345,0.9899,0.5915
"[0, 4, 15, 91, 109, 119, 148, 149, 166, 167, 168, 210, 215, 337, 341, 381, 383, 384, 389, 416, 424, 426, 427, 441, 472, 531, 573, 615, 940]",6.4735,GA with MLR,29,0.6551,0.2405,0.473,1.2627,0.9891,0.5493
"[6, 63, 64, 147, 154, 178, 231, 243, 249, 288, 293, 301, 306, 336, 368, 413, 426, 491, 493, 531, 548, 556, 872, 929]",5.2954,GA with MLR,24,0.6548,0.4373,0.5069,1.2215,0.9185,0.662
"[33, 38, 39, 55, 81, 107, 113, 124, 128, 133, 149, 162, 168, 183, 189, 206, 211, 217, 236, 241, 282, 301, 308, 338, 353, 417, 423, 446, 461, 482, 500, 546, 568, 676, 678, 690, 696, 864]",8.3571,GA with MLR,38,0.6548,0.361,0.3108,1.444,1.0807,0.5634
"[15, 34, 46, 69, 89, 126, 171, 207, 210, 305, 328, 336, 385, 393, 431, 432, 433, 438, 442, 450, 557, 559, 678, 695, 826, 872, 937, 939, 941]",6.3275,GA with MLR,29,0.6545,0.4843,0.584,1.122,0.8787,0.5915
"[30, 66, 99, 109, 125, 164, 165, 169, 174, 193, 213, 230, 236, 241, 358, 366, 400, 417, 465, 530, 546, 631]",4.7879,GA with MLR,22,0.6541,0.5851,0.5804,1.1268,0.8889,0.6761
"[16, 34, 64, 94, 105, 116, 154, 159, 178, 193, 226, 291, 299, 327, 474, 494, 517, 533, 556, 559, 566, 940]",4.9153,GA with MLR,22,0.6541,0.3636,0.5862,1.1189,0.8841,0.6479
"[16, 39, 50, 90, 106, 117, 126, 141, 166, 208, 219, 248, 252, 306, 354, 415, 438, 461, 480, 482, 489, 527, 545, 816]",5.2665,GA with MLR,24,0.6536,0.4886,0.5895,1.1145,0.9162,0.5915
"[53, 76, 78, 153, 155, 171, 211, 214, 246, 260, 281, 282, 295, 315, 329, 341, 346, 372, 379, 414, 464, 467, 468, 487, 574, 677, 694, 866]",6.254,GA with MLR,28,0.6533,0.2515,0.4362,1.3061,1.0597,0.5352
"[0, 5, 15, 41, 54, 140, 159, 170, 192, 231, 331, 373, 384, 393, 456, 473, 490, 508, 536, 546, 648, 681, 692]",5.0573,GA with MLR,23,0.653,0.487,0.5991,1.1013,0.8552,0.662
"[52, 62, 81, 99, 103, 140, 162, 208, 286, 297, 320, 321, 384, 404, 442, 446, 463, 488, 506, 522, 528, 533, 543, 548, 554, 649, 678, 690, 697, 938]",6.5668,GA with MLR,30,0.6527,0.4464,0.5111,1.2162,0.9058,0.6761
"[1, 32, 48, 58, 60, 64, 99, 112, 141, 152, 164, 232, 240, 255, 260, 281, 311, 372, 397, 417, 485, 497, 544, 693, 938]",5.4504,GA with MLR,25,0.6526,0.5347,0.4637,1.2739,0.9903,0.5775
"[17, 42, 58, 91, 98, 136, 152, 211, 247, 255, 263, 291, 327, 342, 354, 355, 371, 377, 424, 431, 462, 483, 573, 697, 906]",5.5153,GA with MLR,25,0.6521,0.427,0.5804,1.1268,0.9017,0.6338
"[66, 73, 125, 152, 161, 178, 204, 207, 291, 302, 330, 334, 337, 363, 370, 373, 391, 393, 411, 435, 449, 486, 528, 532, 539, 695, 699, 703, 872, 906, 939]",6.8627,GA with MLR,31,0.652,0.3159,0.5162,1.2099,0.9903,0.662
"[6, 48, 58, 83, 113, 140, 141, 151, 158, 213, 253, 272, 311, 313, 315, 316, 344, 407, 425, 454, 456, 478, 480, 486, 496, 523, 548, 552, 569, 697, 937]",6.7432,GA with MLR,31,0.652,0.5055,0.5808,1.1262,0.9133,0.5915
"[3, 30, 31, 49, 69, 91, 126, 132, 170, 185, 197, 212, 228, 232, 250, 286, 295, 318, 319, 323, 329, 349, 353, 378, 383, 410, 462, 477, 546, 558, 572, 693, 697, 872, 930]",7.6574,GA with MLR,35,0.652,0.4274,0.4514,1.2884,1.0286,0.5634
"[16, 46, 87, 92, 110, 126, 169, 192, 232, 251, 271, 280, 281, 309, 342, 354, 370, 404, 406, 408, 439, 489, 491, 522, 527, 546, 679, 695]",6.1368,GA with MLR,28,0.6518,0.453,0.4209,1.3237,1.0655,0.5352
"[45, 72, 91, 105, 155, 158, 173, 208, 222, 223, 252, 283, 285, 294, 311, 315, 331, 391, 400, 411, 432, 442, 459, 479, 497, 508, 509, 511, 537, 544, 700]",6.7828,GA with MLR,31,0.6517,0.445,0.3765,1.3735,1.0276,0.6338
"[30, 34, 50, 91, 113, 117, 138, 164, 171, 189, 224, 227, 237, 287, 330, 351, 409, 427, 453, 497, 536, 558, 563]",5.0687,GA with MLR,23,0.6515,0.4699,0.5349,1.1863,0.9099,0.662
"[32, 38, 39, 54, 63, 67, 100, 103, 133, 181, 211, 219, 230, 249, 261, 290, 304, 306, 322, 410, 419, 446, 507, 907]",5.3182,GA with MLR,24,0.6515,0.403,0.4819,1.252,1.0006,0.5775
"[3, 5, 17, 58, 90, 114, 117, 160, 183, 269, 270, 277, 295, 309, 326, 332, 333, 346, 353, 354, 368, 380, 407, 412, 418, 435, 451, 452, 458, 492, 523, 530, 571, 868]",7.3773,GA with MLR,34,0.6514,0.5212,0.571,1.1393,0.9102,0.5775
"[71, 72, 84, 91, 103, 152, 248, 249, 276, 287, 330, 337, 438, 456, 560, 561, 872]",3.7679,GA with MLR,17,0.6513,0.5487,0.6196,1.0728,0.8314,0.662
"[2, 5, 20, 34, 54, 138, 143, 185, 249, 286, 306, 317, 319, 322, 349, 370, 401, 448, 449, 458, 491, 504, 512, 544, 550, 676, 691, 699, 940]",6.4331,GA with MLR,29,0.6513,0.3161,0.3714,1.3792,1.024,0.5634
"[30, 32, 102, 109, 117, 139, 143, 171, 172, 175, 189, 198, 199, 209, 210, 226, 250, 253, 291, 318, 367, 381, 388, 409, 430, 445, 447, 454, 457, 463, 479, 489, 507, 519, 525, 556, 699, 941]",8.5192,GA with MLR,38,0.6513,0.1191,0.2425,1.5139,1.1593,0.5352
"[1, 36, 65, 93, 124, 127, 161, 174, 175, 221, 242, 256, 267, 279, 297, 301, 374, 416, 435, 490, 506, 530, 542, 702, 826]",5.5188,GA with MLR,25,0.6512,0.4225,0.5415,1.1779,0.9289,0.5775
"[61, 84, 89, 157, 159, 170, 201, 212, 216, 226, 227, 249, 295, 307, 337, 364, 366, 383, 391, 399, 427, 430, 432, 434, 438, 472, 520, 552, 702, 839, 868, 930]",6.9626,GA with MLR,32,0.651,0.4993,0.5208,1.2041,0.9573,0.5915
